team,rating
Brazil,2169
Argentina,2143
Spain,2048
Netherlands,2040
Belgium,2007
Portugal,2006
France,2005
Denmark,1971
Germany,1963
Uruguay,1936
Croatia,1927
England,1920
Switzerland,1902
Ecuador,1833
Poland,1814
United States,1798
