group,date,home_team,away_team,elo_prob_home,result_home
E,10,Germany,Japan,,
E,11,Spain,Costa Rica,,
E,25,Japan,Costa Rica,,
E,28,Spain,Germany,,
E,43,Japan,Spain,,
E,44,Costa Rica,Germany,,
