team,rating
England,1969
Senegal,1773
United States,1840
Netherlands,2047
Argentina,2118
France,1993
Australia,1779
Poland,1827
Croatia,1945
Morocco,1871
Japan,1841
Spain,2007
Brazil,2137
South Korea,1801
Portugal,1993
Switzerland,1928
