team,rating
England,1995
Senegal,1747
United States,1819
Netherlands,2068
Argentina,2149
France,2076
Australia,1772
Poland,1802
Croatia,1923
Morocco,1895
Japan,1850
Spain,1996
Brazil,2150
South Korea,1788
Portugal,2042
Switzerland,1879
